,Unnamed: 0,title,full_time,part_time,from_home,freelance_project,internship,shift_based,date,company_and_location,company_info,num_open_pos,num_applicants,num_viewed,in_consid,not_selected,num_of_employees,sector,job_description,job_requirement,exp_years,career_level,edu_level,sex,salary,job_cats,skills_and_tools,link
930,930,Watermaster Senior BIM Engineer,1,0,0,0,0,0,Posted 5 days ago,"UrbaCon Contracting & Tr... - Riyadh, Saudi Arabia",,1 open position,,,,,,,"Job Summary The Senior BIM Engineer assists the Senior BIM Manager as a project team member, interacting with project owners, architects, engineers, contractors and subcontractors to develop and analyse the virtual construction process in order to maximize construction efficiency, job cost savings, as well as enhance project documentation & delivery.Job Responsibilities 1 Develop schematic and detailed level models including modeling Identify conflicts, incomplete or ambiguous design information
Coordinate with BIM service providers and Subcontractors
Create new library components
Assist BIM Manager to compile contract BIM close out documentationAssist in preparing BIM Guidelines for project specific requirements
Assist in training of project personnel in the use of BIM tools
Assist with planning and scheduling, assist in cost report set up and forecasting, issue change orders, notices and revisions.
Understand contractual and legal guidelines.Develop models to illustrate contractor questions and solutions
Keep BIM revision log
Derive material quantities.Assist project team with construction coordination and scheduling.
Print drawing sets for team review.Job Responsibilities 2 Additional Responsibilities 3 Job Knowledge & Skills • Timely and accurate preparation of BIM models, shop drawings, etc.• Provide daily and weekly timesheets.• Demonstrate a deep interest in learning new skills and knowledge.• Positive attitude towards collaboration and knowledge sharing.• Ability to work both independently as well as part of a team.• Demonstrate effective communication skills.• Work with minimal supervision.• ERP knowledge preferably SAP functional skills are a requirement to be successful in this role.Job Experience Minimum 7 years experience and 3 years of core experience in similar role along with GCC experience.Competencies CollaborationAccountabilityResilienceQualityLeadershipCreates Strategy - DevelopingDrives Performance - DevelopingDevelops Future Leaders - DevelopingCost Management L3Drawings/Specifications L3QA/QC L3HSE L3BIM Software L3Education Bachelor's Degree in Engineering or any Related Technical Certificates",,Not Specified,Not specified,Not Specified,,Confidential,Engineering - Construction/Civil/Architecture,"['engineering', 'bim', 'revit', 'architecture', 'construction', 'design', 'shop drawings', 'communication skills', 'drawings', 'drawing', 'planning', 'communication']",https://wuzzuf.net/jobs/p/iLDNh6x7I6jd-Watermaster-Senior-BIM-Engineer-UrbaCon-Contracting-Trading-Company-Riyadh-Saudi-Arabia
7340,7340,Sales Agent - Port Said,1,0,0,0,0,0,Posted 1 month ago,"Fawry for Banking Techno... - Port Fuad, Port Said","Fawry is a pioneering Electronic Payment Network, offering financial services to consumers and businesses through mor...",Applicants for4 open positions,29,16,4.0,7.0, More than 1000 employees,Financial Services,"Visiting clients and potential clients to evaluate needs or promote products and services.Answering client questions about credit terms, products, prices and availability.Identify and develop the market for assigned products, negotiate and close beneficial sales deals.Build and maintain relationships with new and repeat customers.Educate customers on how products or services can benefit them financially and professionally.Sell the company’s products or services to customers within your given territory.Needed Areas : ( Suez, Ismailia and port saied)","Bachelor’s degree.1-2 years of experience in Sales, experience in Sales FMCG is a plus.Excellent communication skills.Able to work comfortably in a fast-paced environment.",1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,,"Confidential, Commission",Sales/Retail,"['Communication skills', 'Experience', 'FMCG', 'Sales', 'sales skills']",https://wuzzuf.net/jobs/p/wQm2Bo96an7i-Sales-Agent---Port-Said-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Port-Said-Egypt
2165,2165,Data Analyst,1,0,0,0,0,0,Posted 9 days ago,"UrbaCon Contracting & Tr... - Doha, Qatar",,People have clicked1 open position,36,,,,,,"Job Summary The Data Analyst is responsible in obtaining and analyzing data to improve quality and the efficiency of data systems. He/she Works with departmental managers/stakeholders to outline the specific data needs for each business method analysis projectJob Responsibilities 1 
Analyze data to look for consistencies and recurring themes.

Develop and perform data mining & exploration.
Job Responsibilities 2 Analyze data to look for consistencies and recurring themes.
Develop and perform data mining & exploration.
Collaboration with Account Teams on all aspects of report creation, incl. deadlines, deliverables, edits, recommendations.
Identify, analyze and interpretation of client campaign data.
Investigate and analyze data problems and issues.
Provide recommendations on campaign performance improvements, based on client data and industry standards.
Work with Account Managers on finalization of reports.  
Additional Responsibilities 3 Job Knowledge & Skills • Deep understanding of the popular data analysis tools and databases.• High-level experience in methodologies and processes for managing large scale databases.• Demonstrated experience in handling large data sets and relational databases.• Understanding of addressing and metadata standards.• High-level written and verbal communication skills• • ERP knowledge preferably SAP functional skills are a requirement to be successful in this role.Job Experience At least 5 years experience
Work experience as a data analyst or in related field
Competencies CollaborationAccountabilityResilienceQualityLeadershipCreates Strategy - DevelopingDrives Performance - DevelopingDevelops Future Leaders - DevelopingData Quality Assurance L3Requirement Gathering L3Quantitative Analysis L3KPI Understanding L3Business Intelligence Tools L3Education Bachelor's Degree in Business Administration or any related field",,Not Specified,Not specified,Not Specified,,Confidential,IT/Software Development,"['Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel', 'Data Analyst', 'Research', 'Business Analysis', 'Economics', 'Engineering', 'Python', 'Computer Skills', 'Data', 'English', 'Tableau', 'Commerce', 'Finance', 'Statistics']",https://wuzzuf.net/jobs/p/7cG9THSacVmg-Data-Analyst-UrbaCon-Contracting-Trading-Company-Doha-Qatar
6851,6851,Front End Developer( Angular),1,0,0,0,0,0,Posted 1 month ago,"DX Republic - Cairo, Egypt",,Applicants for4 open positions,173,16,0.0,0.0, 11-50 employees,"Computer and Network Security, Computer Software, Information Technology Services","Full time job· Proficiency in Angular CLI , HTML, CSS, and JavaScript.· Proficiency in bootstrap, Angular Material, PrimeNg.· Understanding of responsive design principles.· Experience in debugging and testing.· Well-Versed with typescript.· Ability to work with restful APIs.· Skilled in GIT",Proven work experience as a Front-end developer Bachelor’s degree in Computer Science (or equivalent )From 3 to 7  years of relevant experience as a back-end developer,3 to 7 years,Experienced (Non-Manager),Not Specified,,Confidential,IT/Software Development,"['developer', 'Computer Science', 'computer', 'Front-End Developer', 'front-end', 'Software Development', 'Information Technology (IT)']",https://wuzzuf.net/jobs/p/sautMyvVyVEp-Front-End-Developer-Angular-DX-Republic-Cairo-Egypt
5507,5507,Customer Support,1,0,0,0,0,0,Posted 27 days ago,"NXS - Heliopolis, Cairo",,Applicants for1 open position,62,57,0.0,0.0, 1-10 employees,,"Respond to customer queries in a timely and accurate way, via phone, email or chatIdentify customer needs and help customers use specific featuresAnalyze and report product malfunctions (for example, by testing different scenarios or impersonating users)Update our internal databases with information about technical issues and useful discussions with customersMonitor customer complaints on social media and reach out to provide assistanceShare feature requests and effective workarounds with team membersInform customers about new features and functionalitiesFollow up with customers to ensure their technical issues are resolvedGather customer feedback and share with our Product, Sales and Marketing teamsAssist in training junior Customer Support Representatives",0 to 2 years of experienceExcellent English is a mustNot more than 30 years oldPreferably Cairo citizenFemaleExcellent communication and problem-solving skillsMulti-tasking abilitiesPatience when handling tough cases,0 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Female,Confidential,Customer Service/Support,"['Communication', 'Customer Care', 'Customer Service', 'Customer Support', 'English', 'Handling']",https://wuzzuf.net/jobs/p/ZruqO0UokOtF-Customer-Support-NXS-Cairo-Egypt
6054,6054,senior construction site engineer,1,0,0,0,0,0,Posted 1 month ago,"capital for construction - Alexandria, Egypt",,Applicants for3 open positions,137,0,0.0,0.0,,,We need a senior Site Engineers*(Alexandria Residents)**Job description- Assign the tasks required for the day for the foremen and workers.- Preparing daily labors/Equipment distribution Reports.- Keeping track of the materials on stock and dealing with suppliers.- Preparing Inspection requests (IR) for the finished activities for the consultant approval.- Preparing Material Inspection Requests (M.I.R) for delivered Materials .- Preparing submittals for new material approval.- keeping track of project Quality making sure to apply all the quality/specifications standards required for a snag-less project.- Keeping track of the project Time schedule.-Coordination between different subcontractors.-Prepare subcontractors’ interim payments.,-Bachelor's degree in civil engineering.- 5-8 years of experience.- Communication skills,5 to 8 years,Experienced (Non-Manager),Not Specified,,Confidential,Engineering - Construction/Civil/Architecture,"['Civil', 'Civil Engineering', 'Construction']",https://wuzzuf.net/jobs/p/ur0yKsjXJToE-senior-construction-site-engineer-capital-for-construction-Alexandria-Egypt
3188,3188,Caregiver - FT NOC,1,0,0,0,0,0,Posted 13 days ago,"Silverado Senior Living,... - Alexandria, Egypt",,1 open position,,,,,,,"Caregiver - FT NOCJob Category: CNA, Caregiver, CHHA Requisition Number: CAREG014682 Showing 1 location Job DetailsDescriptionSilverado Alexandria is looking for a Caregiver!Position Pay:$18.00 - $20.00 / hourlyShift Schedule(s): Full-Time, NOC (overnight) shifts, Sunday - Thursday Silverado is ranked 6th nationwide by Fortune Magazine in their Best Workplaces in Aging Services list – our 3rd consecutive year in the top 10! Great Place to Work® Certified for five straight years Experienced leadership team that realizes happy associates lead to happy residents Education assistance programs to help with school reimbursements and paid training Great culture with benefits like bringing kids and pets to work Work-life balance with flexible scheduling And more! The non-negotiables: Personal or professional experience as a caregiver or caring for someone with Alzheimer’s disease, dementia, or another debilitating illness preferred What you will be doing: Providing compassionate care and assistance to residents living with Alzheimer’s disease, dementia, or another memory impairment Assisting residents in activities of daily living (bathing, dressing, grooming, hygiene, dining, etc.) Building meaningful relationships with residents, families, and your Silverado team May also include keeping proper care records and reporting any changes to nursing team We’re looking for someone who: Loves people. Has compassion and patience. Is a quick learner. Is ethical, honest, dependable, and open-minded. Can read, write, and speak English. PROTECTING YOU, PROTECTING OTHERS: We believe our residents, patients and associates deserve to thrive in an environment protected from COVID-19. At Silverado, vaccines are offered and required for all associates.To maintain our world class standard, all offers of employment with Silverado are contingent upon a satisfactory background check as well as drug screening, a physical and TB testing (if required for the position). Silverado also uses E-Verify to confirm work authorization with both the Social Security Administration and the Department of Homeland Security. EOE/M/F/D/V QualificationsSkillsBehaviors: Motivations: EducationExperienceLicenses & Certifications",,Not Specified,Not specified,Not Specified,,Confidential,Medical/Healthcare,"['education', 'healthcare', 'teaching', 'startup', 'english', 'reporting']",https://wuzzuf.net/jobs/p/DKMIcd12IJui-Caregiver---FT-NOC-Silverado-Senior-Living-Inc-Alexandria-Egypt
2476,2476,Marketing Officer,1,0,0,0,0,0,Posted 11 days ago,"Almoosa Specialist Hospi... - Riyadh, Saudi Arabia",,People have clicked1 open position,9,,,,,,,,Not Specified,Not specified,Not Specified,,Confidential,Accounting/Finance,"['Marketing', 'Social Media', 'E-marketing', 'Advertising', 'Market Research', 'Microsoft Office', 'Digital Marketing', 'Media', 'Public Relations (PR)', 'Sales', 'Digital Media', 'SEO', 'Adobe Photoshop', 'Business Development', 'Commerce', 'Credit', 'Customer Care', 'Customer Service', 'Customer Support', 'English']",https://wuzzuf.net/jobs/p/2ZpjbvIRUp4n-Marketing-Officer-Almoosa-Specialist-Hospital-Riyadh-Saudi-Arabia
3874,3874,Pharmacist,0,0,0,0,0,1,Posted 17 days ago,"YASSIN PHARMACY - New Cairo, Cairo",,Applicants for1 open position,22,10,0.0,0.0,,,Experienced pharmacist needed for work in a pharmacy in the fifth settlement AFTERNOON SHIFTFROM 4PM TILL 1 AMPreferably a resident of the fifth settlement.SALARY WILL BE SET ACCORDING TO YEARS OF EXPERIENCE,"Proven experience as a pharmacistThorough understanding of dosage administration and measurement, chemical compounds, medical brands etcGood organizing skillsExcellent communication skills with a customer oriented approachIntegrity and compassionDegree in Pharmacy/PharmacologyValid licence to practice the profession",More than 1 year,Experienced (Non-Manager),Not Specified,,Confidential,Pharmaceutical,"['Pharmacy', 'Pharmaceutical']",https://wuzzuf.net/jobs/p/uKfVz6xUr9ym-Pharmacist-YASSIN-PHARMACY-Cairo-Egypt
6994,6994,We need English to Arabic translator,0,1,0,0,0,0,Posted 1 month ago,"Ninss - Abnub, Assiut",,Applicants for1 open position,90,1,0.0,0.0,,,"We have a small PowerPoint PDF file that needs to be translated from English to Arabic in the same format. Only native, please Hello if you are interested in this job post kindly click to the link to message the project officer via telegram ????????????????https://t.me/Michaelclara01",Hello if you are interested in this job post kindly click to the link to message the project officer via telegram ????????????????https://t.me/Michaelclara01,Not Specified,Manager,Not Specified,,200 to 5500 EGP Per Month,Writing/Editorial,"['Translation', 'Writing', 'English', 'Arabic']",https://wuzzuf.net/jobs/p/aMPA8wD2n7is-We-need-English-to-Arabic-translator-Ninss-Assiut-Egypt
9113,9113,Sales Teamleader,1,0,0,0,0,0,Posted 2 months ago,"Unit X  - Sheikh Zayed, Giza",A start up real estate company located in El-Sheikh Zayed,Applicants for6 open positions,21,1,0.0,0.0, 11-50 employees,Real Estate/Property Management,"Responsibilities 1- Providing Support:A) KnowledgeB) Follow upC) MeetingsD) Closing 2- Managing Performance:A) Periodic knowledge assessmentsB) Monitor tools utilization, efficiency & effectivenessC) Create monthly ""ASK"" analysis to evaluate employees (Attitude, Skills & PK)D) Create customized development plan for each team memberE) Conduct weekly 1 to 1 meeting with team membersF) Follow up on development plan consistency & effectiveness","Qualifications:1- Successful previous experience as a sales representative or sales supervisor, consistently meeting or exceeding targets.2- Demonstrated ability to communicate, present and influence credibly and effectively at all levels of the organization.3- Proven ability to drive the sales process from plan to close.4- Strong business sense and industry expertise.5- Excellent mentoring, coaching and people management skills.6- A minimum of 5 years’ experience in sales.7- A minimum of 3 years’ experience in real estate sales.8- Fluent in both English and Arabic",2 to 5 years,Manager,Not Specified,,"8000 to 12000 EGP Per Month, 1.5K Per Million",Operations/Management,"['Real Estate', 'Sales', 'sales skills', 'Sales Target', 'Management', 'English']",https://wuzzuf.net/jobs/p/h6GY1OpcUlfY-Sales-Teamleader-Unit-X-Giza-Egypt
3781,3781,Mechanical Technical Office Engineer,1,0,0,0,0,0,Posted 15 days ago,"TRAVCO GROUP - Sheikh Zayed, Giza",Travco Group is an international company with local heritage. It has a footprint across the globe yet it is proud of ...,Applicants for2 open positions,56,23,2.0,2.0, More than 1000 employees,"Airlines/Aviation, Construction - Industrial Facilities and Infrastructure, Hospitality/Hotels","Manage the translation of the projects program into applicable design over the complete project cycle from conception stage to construction.Review technical drawings, plans, and specifications.Surveying and reviewing the BOQ for all electrical itemsPreparing budget for all the electrical items.Monitoring the quality standards for execution of designs at sites.Giving technical supports during and after handover of the projects.Collaborate with multi-disciplinary engineering teams, and work with vendors and contractors.",Proven working experience in mechanical engineering(Construction) Familiarity with 2D or 3D engineering designPrevious Experience in a construction is a mustStrong Communication and negotiation skillsAbility to communicate technical knowledge in a clear and understandable mannerTechnical writing skillsBSc degree in Engineering,4 to 8 years,Experienced (Non-Manager),Bachelor's Degree,Male,Confidential,Engineering - Construction/Civil/Architecture,"['2D', 'Communication', 'Mechanical', 'Design', 'Mechanical Engineering', 'Engineering', 'technical', 'Construction']",https://wuzzuf.net/jobs/p/qR1WmScztIVq-Mechanical-Technical-Office-Engineer-TRAVCO-GROUP-Giza-Egypt
6947,6947,Facilities Coordinator- Banking Sector,1,0,0,0,0,0,Posted 1 month ago,"EFS - Maadi, Cairo",EFS Facilities Services is a regional leader in delivering integrated facilities management services across the Middl...,Applicants for1 open position,31,1,0.0,0.0, 501-1000 employees,"Marine Manufacturing & Services, Recreational Facilities and Services","Job Summary:We are looking for a skilled Project Administrator with 1 up to 3 years of experience in the banking sector, specifically in mobile teams.","Requirements:1 to 3 years of experience as a Project Administrator or in a similar role within the banking sector, with a focus on mobile teams.Strong understanding of project management principles and methodologies.Excellent interpersonal skills, with the ability to communicate effectively with diverse stakeholders.Detail-oriented mindset with exceptional organizational and multitasking abilities.Proficiency in project management tools and software.Self-motivated and proactive, with the ability to work both independently and as part of a team.Bachelor's degree in Business Administration, Project Management, or a related field is preferred.",1 to 2 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,Banking,"['Mobile teams', 'Facility Management', 'Administration']",https://wuzzuf.net/jobs/p/91MkqEvk813i-Facilities-Coordinator--Banking-Sector-EFS-Cairo-Egypt
5795,5795,Scheduling and Planning Engineer,1,0,0,0,0,0,Posted 29 days ago,"Confidential Company - San Stefano, Alexandria",,Applicants for1 open position,47,9,0.0,0.0,,,"Coordinate timelines and effectively plan courses and events across all branches.Allocate and manage resources among branches, coordinating teachers and educational materials.Monitor students' progress and update schedules based on academic reports.Develop educational plans and enhance the educational process.Collaborate with management and educational teams to achieve institute objectives.Schedule Coordination: The Tables and Planning Administrator is responsible for coordinating the timetables of courses across all branches, taking into account the number of classes, subjects, and different student levels.Resource Allocation: They identify and distribute teachers and other resources among the various branches. Ensuring the availability of qualified teachers and allocating them based on branch needs and class schedules.Progress and Performance Monitoring: The Tables and Planning Administrator monitors students' progress in all branches and updates the timetables based on academic reports and achievement levels. They can take corrective actions to support struggling students or achieve balance across levels in different branches.Events and Examinations Organization: They may be responsible for organizing academic events and examinations in all branches, such as final exams or student orientation activities.General Plans Development: The Tables and Planning Administrator can contribute to the development of the institute's general plans, such as curriculum development, educational programs, and setting priorities.Academic Report Coordination: They are responsible for gathering and coordinating academic reports from different branches, including student progress reports and teacher evaluations, and analyzing them to make appropriate decisions.Training Needs Identification: They identify the training and development needs of teachers in different branches and assist in organizing and coordinating workshops and training programs to enhance their teaching and language skills.Educational Process Improvement: They work with management and educational teams to improve the educational process in all branches, offering suggestions and implementing improvements in timetables, curricula, and the use of educational technology.Meetings Organization and Committee Participation: They participate in management and educational team meetings and contribute to discussions and decisions related to timetables and planning.Compliance with Regulatory Guidelines: They monitor the guidelines and directives from regulatory authorities and ensure the institute's adherence to them.",Previous experience in scheduling and planning management.Excellent organizational skills and ability to handle multiple tasks and priorities.Good knowledge of scheduling management systems and planning software.Analytical abilities and effective communication skills.Team player with the ability to work in a dynamic environment.,3 to 6 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,Administration,"['Business Administration', 'Communication', 'Communication skills', 'Management', 'Planning', 'Project Management', 'Scheduling', 'Schedule', 'Events']",https://wuzzuf.net/jobs/p/Ifv15ucVGV4W-Scheduling-and-Planning-Engineer-Alexandria-Egypt
1242,1242,"Vendor Consultant - Italian, AVS-NOP",1,0,0,0,0,0,Posted 6 days ago,"Amazon MENA - Cairo, Egypt",,People have clicked1 open position,6,,,,,,"DESCRIPTIONAmazon is the most customer-centric company. In the light of this, the company is offering to our most engaged customers – sellers/vendors (and not only) the highest level of services, encouraging them to participate to grow their businesses on Amazon.As a Vendor Consultant (VC) you will help shape and deliver on a strategy for managing key metric pillars for Amazon Vendors.You will collaborate internally with leaders from Retail and Vendor Services teams and will be responsible for certain aspects of the vendor’s business with Amazon. Will engage directly with multiple internal teams to optimize business for key manufacturers (vendors) on Amazon websites.You will conceive, create and analyze a wide range of data, to grow the vendor’s traffic, brand awareness, customer conversion, and revenue on Amazon. Also, you will look into strategic and operational aspects of their business with Amazon, root cause analysis of issues and opportunities affecting the vendor’s business. Your focus will be on the strategic and operational aspects of managing the customer relationships with our vendors.Key job responsibilities• Support the performance of your internal teams on input metrics and impact of vendors on creating a great customer experience;• Partnering with Retail Team to manage vendor relationship by championing the vendor’s needs at Amazon;• Build strong communication channels at all levels, set proper expectations, provide clear status communications, and manage towards a growth plan for the vendors;• Build and execute on a strategic account plan that delivers on key business opportunities and relevant KPIs for the vendors and Amazon;• Work with internal Amazon teams/vendors to improve operational aspects of their business in providing a great consumer experience;• Conduct deep dive analysis on the handled issues for the vendors and develop recommendations and action plans based on data to improve vendor experience;• Provide thought leadership around planning, roadmaps and execution;• Establish long term partnerships with key vendor partners for the group of vendors handled;• Support the launches of new programs, categories and features;• Conduct regular weekly and monthly business reviews with the vendors, highlighting business metric performance and building action plans;• Metric influencing - understand metrics and create realistic forecasts. Take calculated risks, and react quickly with new action plans.","Skills
BASIC QUALIFICATIONS- Knowledge of SQL and Advanced Excel (Array and Statistical formulas)- Experience using data to influence business decisionsPREFERRED QUALIFICATIONS- Knowledge of analytics & statistical tools such as SAS, PowerBI, SQL & ETL DW concepts- Knowledge of visualization tools such as Tableau, Datazen, SSRS- Experience back office operations, escalation management and troubleshooting environments",Not Specified,Not specified,Not Specified,,Confidential,IT/Software Development,"['engineering', 'information technology (it)', 'computer science', 'sales', 'management', 'operations', 'planning', 'sql', 'retail', 'communication', 'troubleshooting', 'analysis']",https://wuzzuf.net/jobs/p/zzO8VnxbN356-Vendor-Consultant---Italian-AVS-NOP-Amazon-MENA-Cairo-Egypt
4972,4972,Patient Care Partner,1,0,0,0,0,0,Posted 26 days ago,"Sidra Medical and Resear... - Doha, Qatar",,People have clicked1 open position,11,,,,,,"The Patient Care Partner under the supervision of clinical nursing staff assists in the maintenance of a safe and clean hospital environment; assists with making beds and turnover of rooms between patients and assisting with stock maintenance at unit level. They also assist the clinical staff where required with daily activities under direct supervision.KEY ROLE ACCOUNTABILITIES:Maintains a clean, neat, pleasant, safe, patient environment, including unit specific patient rooms / Operating Rooms and procedure spaces in line with infection control standards. Cleans and assists in the set-up of Operating and Procedure Rooms between cases. Escalates any direct patient interaction to the Clinical Nurse Leaders and does not have un-supervised patient interactions. Assists in the restocking of consumables, stores and laundry as required by the assigned unit and / or instructed by the nursing team, in collaboration with materials management staff.  Prepares necessary supplies specified by the clinical nurse for individualized patient care needs Transports supplies, equipment and specimens as specified by the clinical nurse and in compliance with relevant organizational and laboratory policies Assists in the mobilization of patients under the direct supervision of the clinical nurse.  Escorts patients within the hospital as instructed and under the direct supervision of clinical nursing staff Manages and operates unit based equipment (for which he/ she has received training), in a safe and effective manner. Responds to patient call lights at the first opportunity and observes and reports changes in patient’s condition to the assigned clinical nurse  Assists the clinical nursing team, under direct supervision, to provide basic activities of daily living care for women and children. Demonstrates an understanding and performs basic infection control procedures correctly, e.g.  Hand hygiene Environmental Cleaning Isolation precautions  Understands and maintains confidentiality of patient information at all times and treats patients and their families with respect and dignity. Takes responsibility for conflicts in personal and work schedules by making alternative arrangements in collaboration with the nursing team. Attends and contributes at staff meetings as required, Represents the department and the organization in a positive and professional manner.  Develops and sustains own knowledge, clinical skills and professional awareness and maintains a professional profile. Provides documented evidence of performance and maintenance of skills consistent with position.    Performs other related duties as assigned by the clinical nursing team. Adheres to Sidra’s standards as they appear in the Code of Conduct and Conflict of Interest policies Adheres to and promotes Sidra’s ValuesIn view of the evolving needs and opportunities within Sidra, this position may be required to perform other duties as assigned and reporting relationships may vary.QUALIFICATIONS, EXPERIENCE AND SKILLS – SELECTION CRITERIA ESSENTIAL  Education High School Diploma  Experience Relevant experience   Certification and Licensure No Licensing Required   Job Specific Skills and Abilities Demonstrated ability to self-roster using the computerized Time and Attendance and Staff Scheduling system. Manual Handing proficiency Proficiency with Microsoft Office suite Fluency in written and spoken English  Sidra Medicine a healthy population is essential to a strong, prosperous society, and throughout 2020, Sidra continued to provide uninterrupted comprehensive specialist healthcare services for children and young people; and exceptional maternity, gynecology, and reproductive medical services for women, previously unavailable in Qatar and the region.” – H.H Sheikha Moza bint Nasser, Chairperson of Qatar Foundation   Sidra Medicine represents the vision of Her Highness Sheikha Moza bint Nasser who serves as its Chairperson. This high-tech facility is home to world-class patient care, scientific expertise, and educational resources.",,Not Specified,Not specified,Not Specified,,Confidential,Medical/Healthcare,"['customer care', 'customer service', 'customer support', 'sales', 'medical', 'microsoft office', 'healthcare', 'management', 'medicine', 'english', 'nursing', 'education']",https://wuzzuf.net/jobs/p/cw2pXlbY0m9t-Patient-Care-Partner-Sidra-Medical-and-Research-Center-Doha-Qatar
9131,9131,Medical Representative - Assiut,1,0,0,0,0,0,Posted 2 months ago,"El Nahar for Medical Sol... - Assiut, Egypt",El Nahar for Medical Solutions has been in the Egyptian market for 43 years specialized in ENT and there are at least...,Applicants for1 open position,46,28,6.0,22.0, 51-100 employees,"Biotechnology, Healthcare and Medical Services, Medical Devices and Supplies","Promote and sell company's productsIncrease product's awarenessAnswer queries for doctors and customersProvide advice and introduce new productsOrganizing appointments and meetings with the community- and hospital-based healthcare staffNegotiating with doctors and customersPreparing weekly, monthly and annual reportsAttending and organizing trade exhibitions, conferences, meetings and workshops related to doctors and customersArranging appointments and making presentations for doctors and customersBuilding and maintaining positive working relationshipsKeeping detailed records of all contactsPlanning work schedules weekly and monthly timetablesReaching annual sales targetsCollecting complete data from competitors in his areaKeep doctors & patient loyalty to the companyAchieving financial targetAttending all sales meetings & training scheduled by the company.Meeting the Sales department’s objectives and KPIs.","Bachelor's Degree of (Commerce, Science, Agriculture or any related faculty).Residence in Assiut.Fresh or experience in the same field (preferred experienced).Excellent communication skills.Good time management and planning skills.Good objection handling and problem-solving skills.Good computer skills.Self-learning.Self-motivation.Teamwork Skills.",0 to 4 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,Confidential,Medical/Healthcare,"['Medical', 'Sales', 'sales skills']",https://wuzzuf.net/jobs/p/624pRlqwp5Id-Medical-Representative---Assiut-El-Nahar-for-Medical-Solutions-Assiut-Egypt
5472,5472,Foreign Purchasing Specialist,1,0,0,0,0,0,Posted 27 days ago,"Confidential Company - Heliopolis, Cairo",,Applicants for1 open position,116,31,0.0,0.0,,,"Identify and evaluate potential international suppliers based on quality, price, reliability, and delivery capabilities.Conduct market research to stay updated on global sourcing trends and identify new suppliers or products.Assess supplier capabilities, certifications, and compliance with legal and ethical standards.Negotiate favorable terms, prices, and contracts with international suppliers.Ensure compliance with legal and regulatory requirements, including import/export regulations, customs procedures, and trade agreements.Collaborate with legal and procurement teams to finalize contracts and agreements.Coordinate logistics, shipping, and import/export activities to ensure timely delivery and minimize disruptions.Collaborate with freight forwarders, customs brokers, and logistics providers to facilitate the smooth flow of goods across borders.Monitor inventory levels, lead times, and production schedules to optimize supply chain efficiency.","Bachelor's degree, business administration, or a related field.In-depth knowledge of international trade regulations, customs procedures, and import/export compliance.Strong negotiation skills and the ability to build and maintain relationships with international suppliers.Proficient in using procurement software and tools, as well as MS Office applications.Excellent communication and interpersonal skills to work effectively with international suppliers and internal stakeholders.B2 in English is required, and proficiency in additional languages is an advantage.Chemical Knowledge Is Prefer  Experience from 1 – 2 Years",1 to 2 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,Confidential,Purchasing/Procurement,"['Negotiation', 'Procurement']",https://wuzzuf.net/jobs/p/JujpY1pado5I-Foreign-Purchasing-Specialist-Cairo-Egypt
